173.089;-114.164;2369.33
173.089;-111.935;2369.33
167.683;-112.389;2266.13
167.683;-112.389;2266.13
167.683;-112.389;2266.13
167.683;-112.389;2266.13
69.5194;-62.5741;259.615
69.1035;-62.1058;248.459
68.4967;-62.0888;243.803
69.0891;-62.4482;252.683
69.2456;-62.7153;257.686
68.9486;-62.6334;253.915
69.0191;-62.481;253.297
68.7056;-62.4244;247.869
68.7057;-62.0746;247.868
69.0343;-62.1375;249.056
69.0617;-62.5866;250.855
68.9922;-62.2645;251.459
68.9651;-62.6387;249.653
68.7057;-62.3077;247.868
68.7057;-62.3077;247.868
68.775;-62.2761;247.281
68.6814;-61.8658;246.11
68.7505;-62.2972;245.529
68.4966;-62.2035;243.804
69.0344;-62.4888;249.056
69.7636;-62.6962;259.616
70.2694;-62.9401;273.965
71.3291;-63.6357;287.592
72.4019;-63.7956;310.773
73.1112;-63.9002;332.624
74.1734;-64.8656;354.117
75.5936;-65.8903;369.194
76.1735;-66.1081;389.938
77.014;-66.0711;401.992
77.9003;-66.378;423.232
78.3797;-67.0399;439.312
79.5138;-67.1343;462.754
79.5139;-67.3518;462.752
80.4801;-67.9797;484.279
81.7766;-68.1493;500.586
82.7516;-69.6897;515.465
82.5229;-68.7718;523.238
84.1541;-69.7814;556.819
85.7954;-70.8636;578.481
77.3133;-217.175;1136.42
87.6614;-71.0752;631.096
88.5655;-72.3782;650.812
89.5815;-71.7231;667.507
85.1226;-242.49;1323.94
85.0831;-222.755;1328.04
88.1021;-254.552;1434.58
90.5952;-254.166;1476.09
75.8089;-306.972;1286.15
88.9374;-196.115;846.7
98.4814;-76.758;826.531
99.2816;-131.509;840.554
99.4004;-202.153;913.581
93.3036;-201.831;929.929
86.0658;-185.335;882.612
101.943;-76.0114;905.645
94.7466;84.1482;-587.917
111.86;-269.079;1918.15
95.2242;115.069;-604.895
112.336;-235.551;1756.3
117.609;-218.236;1644.77
91.1437;76.9426;-565.498
120.995;-226.986;1787.21
88.4244;93.8769;-684.979
89.8165;74.7494;-547.343
89.8188;73.9647;-547.184
89.7315;74.4981;-553.088
89.7323;74.2338;-553.034
89.44;71.7882;-538.546
89.0722;70.4327;-530.226
88.3354;75.7605;-574.408
87.5205;69.5482;-533.063
86.9577;73.3226;-561.926
88.0792;65.5747;-504.411
85.7706;80.9784;-622.805
85.4815;78.5079;-608.29
87.6545;64.7846;-501.978
86.4908;65.8221;-511.801
84.3256;74.8532;-584.183
86.1832;63.9084;-504.326
81.9057;77.1581;-490.044
80.1907;82.5369;-527.357
86.009;64.3746;-511.816
85.7108;62.9529;-504.242
85.0144;61.5157;-494.574
84.9523;61.8116;-496.952
83.6361;70.3732;-567.892
85.1982;60.412;-487.524
79.7354;81.8732;-540.903
70.7948;80.5279;-452.388
72.6898;73.2414;-489.973
81.9387;80.2674;-535.273
80.1592;75.8712;-513.908
80.074;75.5137;-516.375
77.1798;74.4268;-482.025
83.0541;70.7276;-531.394
75.6914;62.0389;-439.703
76.0454;68.7314;-487.094
83.9507;59.9902;-499.335
82.4883;62.0958;-516.857
81.1074;65.2687;-473.572
84.5327;57.4892;-478.523
84.5327;57.4892;-478.523
84.2717;56.7032;-471.982
83.9528;58.0288;-483.013
84.1459;57.2261;-476.334
82.8985;62.1629;-519.487
84.0178;57.7588;-480.766
84.1459;57.2261;-476.334
84.0821;57.4912;-478.54
84.3428;58.0726;-485.313
83.4302;58.3035;-485.298
83.9542;57.7983;-482.965
84.4705;57.7567;-480.75
84.3442;58.2993;-485.265
84.2703;56.4827;-472.028
83.3382;60.3424;-504.276
81.4711;67.4256;-489.26
83.8829;60.2816;-501.76
83.4618;62.0911;-516.819
84.3442;58.7576;-485.266
80.9633;66.522;-465.299
84.1516;59.8274;-492.152
83.3157;63.7048;-522.043
84.0177;58.2128;-480.767
84.2716;57.5947;-471.984
84.2155;59.7775;-489.868
84.2283;64.2739;-524.707
84.7626;62.2405;-504.225
84.633;63.3349;-509.195
82.8514;71.832;-577.495
83.6488;68.0291;-546.927
85.7096;63.1936;-504.292
84.0926;74.7387;-594.199
79.9776;102.787;-641.41
101.348;109.981;-692.351
85.055;70.3207;-552.826
82.3989;84.8472;-667.007
99.3206;108.179;-657.895
67.9788;86.0378;-507.322
79.6564;104.891;-611.741
100.593;115.235;-666.634
67.6063;87.4428;-497.763
69.1516;94.9419;-539.002
88.033;65.8904;-506.783
87.138;80.1113;-611.698
88.4745;70.1597;-535.842
86.5684;89.0848;-680.357
88.0543;83.2372;-626.603
88.721;77.6002;-584.237
89.8189;73.4482;-547.183
89.1721;80.1575;-590.895
90.252;75.5396;-553.072
89.1941;100.506;-728.328
64.5104;113.378;-594.533
66.1722;112.843;-584.529
81.2393;133.335;-688.999
93.799;126.144;-650.261
92.0712;90.2088;-638.541
105.003;161.103;-812.738
104.318;133.228;-662.673
95.2858;87.3988;-591.03
92.6419;143.916;-642.197
97.4306;116.949;-706.454
99.933;94.713;-655.811
100.896;125.96;-741.882
102.707;124.971;-700.534
104.768;131.959;-709.263
107.423;120.761;-761.612
108.864;120.447;-762.168
110.774;125.057;-791.451
86.5686;-70.3701;595.011
84.9239;-69.7011;568.986
82.6316;-68.5243;536.708
82.4204;-68.7657;510.401
139.69;202.75;-1102.74
372.202;1181.76;-6040.46
173.443;293.591;-1479.41
276.904;598.016;-2871.14
307.318;645.008;-2957.39
71.9367;-63.7684;316.439
71.3854;-63.1003;299.159
-270.485;-904.86;3867.11
69.4723;-62.3301;266.933
69.3469;-62.7835;258.965
-194.683;-674.016;2607.89
